name
Animal Justice Party
Australian Christians
Australian Citizens Party
Australian Conservatives 
Australian Democrats
Australian Federation Party
Centre Alliance
Christian Democratic Party
Country Liberal Party
Dai Le & Frank Carbone W.S.C.
David Pocock
Family First Party
Family First Party Australia
FUSION: Science Pirate/Secular/Climate Emergency
Greens
Indigenous - Aboriginal Party of Australia
Jacqui Lambie Network
Katter's Australian Party (KAP)
Kim for Canberra
Labor
Legalise Cannabis Australia
Liberal Democratic
Liberal Party
Libertarian Party
National
One Nation
Shooters/Fishers/Farmers Party
Socialist Alliance
Sustainable Australia Party - Universal Basic Income
The Great Australian Party
Trumpet of Patriots
Victorian Socialists
